"","gencodeID","Symbol","logFC","t","P.Value","adj.P.Val","B","ensemblID","Length","gene_type","EntrezID","AveExpr"
"ENSMUSG00000062585.11","ENSMUSG00000062585.11","Cnr2",2.56245747000287,6.29028457580044,0.0001745356717529,0.00490376914053077,1.28034779523257,"ENSMUSG00000062585",3982,"protein_coding",12802,-0.157403632885829
"ENSMUSG00000032265.14","ENSMUSG00000032265.14","Tent5a",1.26012981809492,6.64017244183611,0.000117844865651271,0.00369208044988882,1.26069687384695,"ENSMUSG00000032265",5703,"protein_coding",212943,3.40639167921779
"ENSMUSG00000052013.14","ENSMUSG00000052013.14","Btla",1.52355784717268,6.35466103300029,0.000162186856887944,0.00464497666915472,1.25736714746631,"ENSMUSG00000052013",3257,"protein_coding",208154,0.767996723434603
"ENSMUSG00000107894.1","ENSMUSG00000107894.1","Gm10388",2.23938961993686,6.26718827991172,0.000179213986047331,0.00499374501121298,1.25621437842888,"ENSMUSG00000107894",2936,"TEC",NA,-1.8565210616073
"ENSMUSG00000004552.16","ENSMUSG00000004552.16","Ctse",3.23805023405714,6.24976804213417,0.000182833373107945,0.00506419285084378,1.25409149111121,"ENSMUSG00000004552",3170,"protein_coding",13034,-0.43757776103847
"ENSMUSG00000028494.12","ENSMUSG00000028494.12","Plin2",1.1221075123378,6.62607474820373,0.000119690684626368,0.00372442660678268,1.24948735552727,"ENSMUSG00000028494",3512,"protein_coding",11520,3.30272623814724
"ENSMUSG00000075122.4","ENSMUSG00000075122.4","Cd80",2.23651346500891,6.24481144432234,0.000183877765310144,0.00507592642350905,1.24688310392572,"ENSMUSG00000075122",1701,"protein_coding",12519,-0.731119398612265
"ENSMUSG00000050732.9","ENSMUSG00000050732.9","Vamp8",1.3940473762006,6.58181899729102,0.00012569419983543,0.00384760996137306,1.24526562375587,"ENSMUSG00000050732",2311,"protein_coding",22320,3.01233966315044
"ENSMUSG00000096971.1","ENSMUSG00000096971.1","4930556M19Rik",2.14671709140677,6.23879575894487,0.000185154094727474,0.00509927294607004,1.24428169985052,"ENSMUSG00000096971",4029,"lincRNA",NA,-1.07862335866763
"ENSMUSG00000006567.11","ENSMUSG00000006567.11","Atp7b",1.36481845338085,6.59843317007715,0.000123402538821778,0.00379583004155041,1.23972666532159,"ENSMUSG00000006567",6505,"protein_coding",11979,3.21143760361798
"ENSMUSG00000064246.10","ENSMUSG00000064246.10","Chil1",1.1355365075155,6.69285703330244,0.000111218227245599,0.00354059638751616,1.23773030220453,"ENSMUSG00000064246",2804,"protein_coding",12654,3.96910195840758
"ENSMUSG00000024791.10","ENSMUSG00000024791.10","Cdca5",2.45229132387045,6.28299226658076,0.00017599817523158,0.00493648001685449,1.23276178114533,"ENSMUSG00000024791",2129,"protein_coding",67849,-2.24846639400608
"ENSMUSG00000079293.11","ENSMUSG00000079293.11","Clec7a",3.73933752822829,6.36328917584471,0.000160605814481718,0.00460526478934562,1.22760626679226,"ENSMUSG00000079293",2638,"polymorphic_pseudogene",56644,1.91798137449559
"ENSMUSG00000030104.9","ENSMUSG00000030104.9","Edem1",1.10441617931379,6.79190421362326,9.9839434930456e-05,0.00325291715737051,1.2254850341463,"ENSMUSG00000030104",6453,"protein_coding",192193,5.03565554716956
"ENSMUSG00000031447.7","ENSMUSG00000031447.7","Lamp1",0.759348344359426,7.02190057390846,7.8042264760314e-05,0.00269058375669292,1.22546308263105,"ENSMUSG00000031447",2675,"protein_coding",16783,8.48573608824918
"ENSMUSG00000018925.3","ENSMUSG00000018925.3","Heatr9",2.87117425480645,6.29237647477448,0.000174118591979242,0.00490368472179351,1.22297312144461,"ENSMUSG00000018925",1875,"protein_coding",629303,-2.52397784458027
"ENSMUSG00000045322.10","ENSMUSG00000045322.10","Tlr9",2.88470259006829,6.27192698753096,0.00017824304929082,0.00497679861698151,1.22183445174145,"ENSMUSG00000045322",3478,"protein_coding",81897,0.641376337235762
"ENSMUSG00000028965.13","ENSMUSG00000028965.13","Tnfrsf9",2.66485330523476,6.2265751999631,0.000187776849458639,0.00515950658866341,1.22070177787906,"ENSMUSG00000028965",2722,"protein_coding",21942,-0.384031004365884
"ENSMUSG00000000594.7","ENSMUSG00000000594.7","Gm2a",0.750670808213452,6.87390226217356,9.13833338748924e-05,0.00303139252496755,1.21586364162483,"ENSMUSG00000000594",4127,"protein_coding",14667,5.85124107958071
"ENSMUSG00000033488.11","ENSMUSG00000033488.11","Cryzl2",1.39039209620174,6.62106445101055,0.000120354303911331,0.00373114095306266,1.21061050070518,"ENSMUSG00000033488",2534,"protein_coding",226527,3.60215731628942
"ENSMUSG00000034266.5","ENSMUSG00000034266.5","Batf",3.17695221861364,6.20516030245558,0.00019247146182746,0.005245899393997,1.20625577021453,"ENSMUSG00000034266",955,"protein_coding",53314,-1.28332340023668
"ENSMUSG00000020788.15","ENSMUSG00000020788.15","Atp2a3",0.978157012845182,6.62507164626369,0.000119823224588068,0.00372442660678268,1.20075138539796,"ENSMUSG00000020788",5281,"protein_coding",53313,3.60759158484084
"ENSMUSG00000017607.9","ENSMUSG00000017607.9","Tns4",2.35742486855771,6.19589568645288,0.000194542135732602,0.00529548235458565,1.19798979477147,"ENSMUSG00000017607",5167,"protein_coding",217169,-1.35599224143951
"ENSMUSG00000001751.9","ENSMUSG00000001751.9","Naglu",0.953485823267676,6.59966760326149,0.000123234106060018,0.00379557841616582,1.1807649422904,"ENSMUSG00000001751",2658,"protein_coding",27419,3.53921425078045
"ENSMUSG00000034957.10","ENSMUSG00000034957.10","Cebpa",1.5948075717656,6.50804607974416,0.000136449197815571,0.00407027613383097,1.18016122416242,"ENSMUSG00000034957",2636,"protein_coding",12606,2.98290261518506
"ENSMUSG00000024786.9","ENSMUSG00000024786.9","Majin",4.04240813242385,6.18356026144763,0.000197337066325323,0.00535651905827566,1.17006055693444,"ENSMUSG00000024786",1641,"protein_coding",622554,-1.60389702845833
"ENSMUSG00000029552.19","ENSMUSG00000029552.19","Tes",2.54021023059077,6.27241024902446,0.000178144355494208,0.00497679861698151,1.16556452070613,"ENSMUSG00000029552",6835,"protein_coding",21753,0.876552668290006
"ENSMUSG00000073407.1","ENSMUSG00000073407.1","Gm6034",2.36205974622098,6.18313276688852,0.000197434711330996,0.00535651905827566,1.16079292930092,"ENSMUSG00000073407",1633,"protein_coding",547347,-1.80215057762457
"ENSMUSG00000027858.13","ENSMUSG00000027858.13","Tspan2",1.18882967857463,6.92476359981232,8.65352708279596e-05,0.00289899277165519,1.15893593676084,"ENSMUSG00000027858",4755,"protein_coding",70747,7.35506764750049
"ENSMUSG00000029923.4","ENSMUSG00000029923.4","Rab19",2.43531328240796,6.17025991778771,0.000200399930054841,0.00540600494686665,1.15231745351747,"ENSMUSG00000029923",1575,"protein_coding",19331,-2.03483913257139
"ENSMUSG00000029322.12","ENSMUSG00000029322.12","Plac8",4.31269248598725,6.17732289237957,0.000198767011647765,0.00538649504677039,1.15149018372782,"ENSMUSG00000029322",1592,"protein_coding",231507,-1.39872001729985
"ENSMUSG00000006360.11","ENSMUSG00000006360.11","Crip1",1.09493163814233,6.40447745642954,0.000153287425630791,0.00445030486341151,1.12918138414346,"ENSMUSG00000006360",2280,"protein_coding",12925,2.2452890029721
"ENSMUSG00000084760.1","ENSMUSG00000084760.1","Gm15472",2.82896338562648,6.17618550464231,0.000199028982882136,0.00538743023950103,1.125931169511,"ENSMUSG00000084760",847,"sense_intronic",NA,-2.24592639595863
"ENSMUSG00000109036.1","ENSMUSG00000109036.1","2210406H18Rik",2.54723134805612,6.1704491856041,0.000200355981584508,0.00540600494686665,1.11667924260645,"ENSMUSG00000109036",1108,"TEC",NA,-2.26544129619829
"ENSMUSG00000050350.7","ENSMUSG00000050350.7","Gpr18",3.51378996693284,6.14132769705034,0.00020724372636997,0.00556526945473101,1.11620100886406,"ENSMUSG00000050350",1309,"protein_coding",110168,-2.04725567539893
"ENSMUSG00000020865.16","ENSMUSG00000020865.16","Abcc3",1.3039752332754,6.40486322034798,0.000153220633112391,0.00445030486341151,1.11368993004719,"ENSMUSG00000020865",5698,"protein_coding",76408,2.47240503302945
"ENSMUSG00000097804.1","ENSMUSG00000097804.1","Gm16685",2.71270825413892,6.14683074883231,0.000205922564373367,0.00554102848386295,1.10272813184102,"ENSMUSG00000097804",1592,"antisense",NA,-2.17591197050485
"ENSMUSG00000024679.10","ENSMUSG00000024679.10","Ms4a6d",2.38937159072976,6.21941059840782,0.000189333389278553,0.00519624719010722,1.09805105648246,"ENSMUSG00000024679",1735,"protein_coding",68774,1.15868663497241
"ENSMUSG00000092274.2","ENSMUSG00000092274.2","Neat1",1.74206080813609,6.83456693487326,9.53373732577455e-05,0.00313620234112459,1.08700169681733,"ENSMUSG00000092274",20771,"lincRNA",66961,7.0285165589917
"ENSMUSG00000035373.2","ENSMUSG00000035373.2","Ccl7",3.36998980916044,6.08977388742376,0.000220080843162319,0.00581765041328072,1.07311581004268,"ENSMUSG00000035373",801,"protein_coding",20306,-1.62551265243961
"ENSMUSG00000029919.5","ENSMUSG00000029919.5","Hpgds",1.43249598815007,6.57073505688591,0.000127248986639315,0.00386892458093989,1.07303933646393,"ENSMUSG00000029919",6425,"protein_coding",54486,4.26844080710637
"ENSMUSG00000051124.6","ENSMUSG00000051124.6","Gimap9",2.75788947419917,6.10855525998331,0.00021530620809299,0.00575567442289218,1.07161438670548,"ENSMUSG00000051124",1642,"protein_coding",317758,-0.358125711247264
"ENSMUSG00000020388.12","ENSMUSG00000020388.12","Pdlim4",1.24654003129946,6.4912872207057,0.000139030547336182,0.00413166689292028,1.05775366554272,"ENSMUSG00000020388",2560,"protein_coding",30794,3.57870405261928
"ENSMUSG00000024661.6","ENSMUSG00000024661.6","Fth1",0.753593910395624,6.88714467017243,9.00929886657847e-05,0.00299278041591741,1.05672835584102,"ENSMUSG00000024661",866,"protein_coding",14319,9.20792045596458
"ENSMUSG00000024048.14","ENSMUSG00000024048.14","Myl12a",0.703268383048278,6.57953567699412,0.000126012778378773,0.00384760996137306,1.04435976510103,"ENSMUSG00000024048",3201,"protein_coding",67268,4.32736540670689
"ENSMUSG00000078616.2","ENSMUSG00000078616.2","Trim30c",2.39645611387414,6.07980447853297,0.000222662223007446,0.00587932525298925,1.04204326757866,"ENSMUSG00000078616",1716,"protein_coding",NA,-2.13838130447037
"ENSMUSG00000033446.7","ENSMUSG00000033446.7","Lpar6",1.29659570490252,6.4239360251743,0.000149957724165865,0.00439029505175341,1.04192830145567,"ENSMUSG00000033446",5400,"protein_coding",67168,3.12173686658957
"ENSMUSG00000032312.6","ENSMUSG00000032312.6","Csk",0.855733993984425,6.55415399989509,0.000129614384949332,0.00393075122602424,1.03314273395377,"ENSMUSG00000032312",2748,"protein_coding",12988,4.23124967856783
"ENSMUSG00000020422.13","ENSMUSG00000020422.13","Tns3",1.13276695209672,6.78665100286376,0.00010040973913157,0.00326676465842204,1.02730481614493,"ENSMUSG00000020422",11182,"protein_coding",319939,6.86322012071575
"ENSMUSG00000073412.6","ENSMUSG00000073412.6","Lst1",1.51139204020841,6.12578819900053,0.000211024729529889,0.00564759403267281,1.02399332723506,"ENSMUSG00000073412",415,"protein_coding",16988,0.66211063589155
"ENSMUSG00000028919.11","ENSMUSG00000028919.11","Arhgef19",0.915970069817323,6.44386414100341,0.000146629617284479,0.00430883683049986,1.02276005701295,"ENSMUSG00000028919",4242,"protein_coding",213649,3.36623897522994
"ENSMUSG00000097418.7","ENSMUSG00000097418.7","Mir155hg",3.14006874575384,6.04378590327935,0.000232268003016771,0.00605481882456275,1.016247446087,"ENSMUSG00000097418",1433,"lincRNA",NA,-1.52113479694258
"ENSMUSG00000037206.14","ENSMUSG00000037206.14","Islr",1.18797961758022,6.36752147232478,0.000159836454818511,0.0045943281946316,1.00504412581006,"ENSMUSG00000037206",2354,"protein_coding",26968,2.790627652694
"ENSMUSG00000027322.11","ENSMUSG00000027322.11","Siglec1",2.43412517718723,6.06549420268143,0.000226425620911074,0.00596539580787407,1.00502540547326,"ENSMUSG00000027322",7143,"protein_coding",20612,-0.176906380346671
"ENSMUSG00000034833.9","ENSMUSG00000034833.9","Tespa1",3.01859752850611,6.02680888623288,0.000236951884083547,0.00612686176257511,1.00311971749074,"ENSMUSG00000034833",1694,"protein_coding",67596,-1.74300957360174
"ENSMUSG00000026365.15","ENSMUSG00000026365.15","Cfh",1.01321341344658,6.64901199126948,0.000116703436979259,0.00367210870142966,1.00295568069596,"ENSMUSG00000026365",8383,"protein_coding",12628,5.44652138514631
"ENSMUSG00000026773.19","ENSMUSG00000026773.19","Pfkfb3",0.755740275609873,6.63161464876312,0.000118961587106306,0.003712259803179,0.99641518131571,"ENSMUSG00000026773",7561,"protein_coding",170768,5.26094802783929
"ENSMUSG00000032122.14","ENSMUSG00000032122.14","Slc37a2",1.51065082366893,6.33283994445452,0.000166261995949139,0.00473876699645651,0.995388134234921,"ENSMUSG00000032122",5079,"protein_coding",56857,2.69917689244397
"ENSMUSG00000026923.15","ENSMUSG00000026923.15","Notch1",1.34120605843631,6.68616882572343,0.000112036352137279,0.00355707908896977,0.994238241539681,"ENSMUSG00000026923",14232,"protein_coding",18128,6.02216415431015
"ENSMUSG00000089929.1","ENSMUSG00000089929.1","Bcl2a1b",2.54079010978255,6.02275402491003,0.000238085810197683,0.00613608532593268,0.987025534665783,"ENSMUSG00000089929",817,"protein_coding",12045,-0.331451723051005
"ENSMUSG00000048065.8","ENSMUSG00000048065.8","Cyb5r2",2.12267799154353,6.00926181458318,0.000241901754249936,0.00621414647441404,0.985370161707388,"ENSMUSG00000048065",2772,"protein_coding",320635,-0.749079762472463
"ENSMUSG00000107390.1","ENSMUSG00000107390.1","Gm43323",2.73331000898603,6.01520317455406,0.000240213211778924,0.00617747005535703,0.979369181928254,"ENSMUSG00000107390",4258,"TEC",NA,-1.85843109054929
"ENSMUSG00000079845.8","ENSMUSG00000079845.8","Xlr4a",2.29296201361137,6.00341133847999,0.000243577148891769,0.00623015634071442,0.9768110958021,"ENSMUSG00000079845",1535,"protein_coding",434794,-1.93551501060535
"ENSMUSG00000025283.15","ENSMUSG00000025283.15","Sat1",1.18946198540393,6.61281065924457,0.000121456344136966,0.00375057824104828,0.966718059706377,"ENSMUSG00000025283",2774,"protein_coding",20229,5.4553731361853
"ENSMUSG00000029119.9","ENSMUSG00000029119.9","Man2b2",0.804771075165861,6.57803208009361,0.000126223050031111,0.00384760996137306,0.962257938858432,"ENSMUSG00000029119",3528,"protein_coding",17160,5.04182610346259
"ENSMUSG00000020439.17","ENSMUSG00000020439.17","Smtn",1.15011592373635,6.33526264986267,0.000165804064335035,0.00473140875153651,0.958399112481223,"ENSMUSG00000020439",4380,"protein_coding",29856,2.7340382220977
"ENSMUSG00000004296.14","ENSMUSG00000004296.14","Il12b",3.84583663201621,5.98656547544061,0.000248472504545354,0.00631967278480424,0.95829307072721,"ENSMUSG00000004296",1967,"protein_coding",16160,-1.74470151524413
"ENSMUSG00000021448.6","ENSMUSG00000021448.6","Shc3",-0.587695129304087,-6.64015384627877,0.000117847279717794,0.00369208044988882,0.952493309752397,"ENSMUSG00000021448",1537,"protein_coding",20418,5.61387137952254
"ENSMUSG00000039682.12","ENSMUSG00000039682.12","Lap3",0.936002205631902,6.66858435710773,0.00011421901793399,0.00361668106920663,0.951695438678291,"ENSMUSG00000039682",3098,"protein_coding",66988,6.09085983456548
"ENSMUSG00000018930.3","ENSMUSG00000018930.3","Ccl4",3.44650744467765,5.97386857558372,0.000252233218762237,0.00635547211317403,0.950857068243185,"ENSMUSG00000018930",660,"protein_coding",20303,-0.723246877315149
"ENSMUSG00000031639.12","ENSMUSG00000031639.12","Tlr3",1.35848095205778,6.46281272778794,0.000143540030733314,0.00424437656419293,0.947005701295259,"ENSMUSG00000031639",5207,"protein_coding",142980,4.20669934424274
"ENSMUSG00000046410.10","ENSMUSG00000046410.10","Kcnk6",1.32182829419157,6.32857204048522,0.000167072073132046,0.00475613227419772,0.945344851491283,"ENSMUSG00000046410",4151,"protein_coding",52150,2.90941085624353
"ENSMUSG00000029468.17","ENSMUSG00000029468.17","P2rx7",1.16461919116335,6.47147906966882,0.000142150808835473,0.00420855238408521,0.943315467601485,"ENSMUSG00000029468",5970,"protein_coding",18439,4.23824836110602
"ENSMUSG00000028793.15","ENSMUSG00000028793.15","Rnf19b",0.619625542950389,6.60061858890694,0.000123104520335336,0.00379557841616582,0.942618465896272,"ENSMUSG00000028793",2872,"protein_coding",75234,5.35415179587522
"ENSMUSG00000036918.15","ENSMUSG00000036918.15","Ttc7",0.874396137522014,6.39741930467478,0.000154515146279895,0.00447395017070822,0.938030170575177,"ENSMUSG00000036918",6315,"protein_coding",225049,3.52872256993424
"ENSMUSG00000026418.16","ENSMUSG00000026418.16","Tnni1",1.40088395466455,6.20518372736402,0.000192466256939511,0.005245899393997,0.915068240323075,"ENSMUSG00000026418",3600,"protein_coding",21952,2.26990305001596
"ENSMUSG00000025997.13","ENSMUSG00000025997.13","Ikzf2",0.920621682570948,6.44536756066589,0.000146381840711355,0.00430689925124031,0.911717460189251,"ENSMUSG00000025997",11613,"protein_coding",22779,4.16065551431285
"ENSMUSG00000089672.4","ENSMUSG00000089672.4",NA,3.70811822401601,5.9401638616969,0.00026252130273229,0.00651762794047619,0.906342404919307,"ENSMUSG00000089672",2107,"protein_coding",NA,-0.621229870206183
"ENSMUSG00000020707.6","ENSMUSG00000020707.6","Rnf135",1.32903194304218,6.23295729241719,0.000186402100393182,0.00512768147248841,0.903054717932075,"ENSMUSG00000020707",2140,"protein_coding",71956,2.43434881576172
"ENSMUSG00000052593.15","ENSMUSG00000052593.15","Adam17",0.778221358202823,6.52995805209165,0.000133153043350568,0.00400219521796725,0.89895796570341,"ENSMUSG00000052593",7154,"protein_coding",11491,5.06366648033373
"ENSMUSG00000017707.9","ENSMUSG00000017707.9","Serinc3",0.66059044867763,6.73148013685126,0.000106620085880598,0.00341256315416481,0.895549480709437,"ENSMUSG00000017707",3840,"protein_coding",26943,8.12739712233668
"ENSMUSG00000043131.14","ENSMUSG00000043131.14","Mob1a",1.11495852074388,6.57362289614368,0.000126841877122957,0.00386150367565197,0.893742537915712,"ENSMUSG00000043131",4794,"protein_coding",232157,5.6846809989398
"ENSMUSG00000040528.15","ENSMUSG00000040528.15","Milr1",2.90568010186996,5.93466383652478,0.000264243224181826,0.00654665351960937,0.891080040642612,"ENSMUSG00000040528",2474,"protein_coding",380732,-0.480741483910192
"ENSMUSG00000072621.13","ENSMUSG00000072621.13","Slfn10-ps",2.34446410229637,5.92979150276874,0.000265778938045415,0.00656410234369723,0.890080929876915,"ENSMUSG00000072621",3621,"transcribed_unprocessed_pseudogene",NA,-0.55569747792539
"ENSMUSG00000008540.11","ENSMUSG00000008540.11","Mgst1",1.18609208307178,6.40427365075462,0.000153322726136533,0.00445030486341151,0.879908718338744,"ENSMUSG00000008540",2013,"protein_coding",56615,4.11306615651114
"ENSMUSG00000032434.8","ENSMUSG00000032434.8","Cmtm6",0.831750873322886,6.5117107269816,0.000135891763390852,0.00406388436352567,0.878025027045952,"ENSMUSG00000032434",3352,"protein_coding",67213,5.07198809227364
"ENSMUSG00000041852.14","ENSMUSG00000041852.14","Tcf20",-0.675673870060241,-6.71625667754812,0.000108407074291121,0.00346040640779675,0.869887864471755,"ENSMUSG00000041852",7347,"protein_coding",21411,8.35421194722739
"ENSMUSG00000033386.10","ENSMUSG00000033386.10","Frrs1",1.35933283904246,6.10578707844287,0.000216002767571443,0.0057631465413932,0.868073900566545,"ENSMUSG00000033386",7260,"protein_coding",20321,1.63253540778912
"ENSMUSG00000069830.10","ENSMUSG00000069830.10","Nlrp1a",1.73424926371441,5.92989596828895,0.000265745909424218,0.00656410234369723,0.86700914463949,"ENSMUSG00000069830",4166,"protein_coding",195046,0.0572577076597642
"ENSMUSG00000017760.15","ENSMUSG00000017760.15","Ctsa",0.644180428419002,6.64022436656547,0.000117838125094461,0.00369208044988882,0.865680380658677,"ENSMUSG00000017760",4715,"protein_coding",19025,6.52001431014683
"ENSMUSG00000017652.16","ENSMUSG00000017652.16","Cd40",2.44669768878338,5.92408682781848,0.000267589396685112,0.00659506228978864,0.852552339529056,"ENSMUSG00000017652",3406,"protein_coding",21939,-0.0231727151740584
"ENSMUSG00000027422.15","ENSMUSG00000027422.15","Rrbp1",0.954503720536824,6.55117668125954,0.000130044202863961,0.0039327492337307,0.839730031743303,"ENSMUSG00000027422",8786,"protein_coding",81910,5.87187618189009
"ENSMUSG00000023008.18","ENSMUSG00000023008.18","Fmnl3",1.08384683399442,6.37610032961609,0.000158289317460487,0.00456092759616988,0.836269036856546,"ENSMUSG00000023008",5021,"protein_coding",22379,4.14051949049132
"ENSMUSG00000052310.9","ENSMUSG00000052310.9","Slc39a1",0.744062733433322,6.48768178284476,0.00013959285662054,0.00414317895871866,0.832598642338691,"ENSMUSG00000052310",2364,"protein_coding",30791,5.17894663319117
"ENSMUSG00000106408.1","ENSMUSG00000106408.1","Gm43321",-1.31582285855402,-6.19502576545558,0.000194737814264053,0.00529548235458565,0.82916164749967,"ENSMUSG00000106408",2409,"TEC",NA,2.59327470005565
"ENSMUSG00000042474.6","ENSMUSG00000042474.6","Fcmr",3.03739836708156,5.92090490200666,0.000268605073364529,0.00661321326677637,0.829140021065501,"ENSMUSG00000042474",1736,"protein_coding",69169,-2.4575380095946
"ENSMUSG00000040940.18","ENSMUSG00000040940.18","Arhgef1",0.728754798687376,6.44712396352103,0.0001460929512064,0.0043037457081139,0.823206218683131,"ENSMUSG00000040940",7732,"protein_coding",16801,4.86223182432911
"ENSMUSG00000030844.11","ENSMUSG00000030844.11","Rgs10",0.623139379120784,6.48226341886588,0.000140442605546949,0.00416318286906067,0.80954611376988,"ENSMUSG00000030844",1711,"protein_coding",67865,5.28240903661101
"ENSMUSG00000042626.13","ENSMUSG00000042626.13","Shc1",0.961917336176372,6.31077147838528,0.000170497649385523,0.00483042682499535,0.806253971277329,"ENSMUSG00000042626",5645,"protein_coding",20416,3.74665856429781
"ENSMUSG00000024087.3","ENSMUSG00000024087.3","Cyp1b1",1.41039146705928,6.17484919875939,0.000199337253025264,0.00538961511176184,0.79679031754951,"ENSMUSG00000024087",5128,"protein_coding",13078,2.74455712065199
"ENSMUSG00000051969.7","ENSMUSG00000051969.7","Tlr11",2.49795643114696,5.83838437157139,0.000296472963501915,0.00715796344601718,0.793939561016452,"ENSMUSG00000051969",3274,"protein_coding",239081,-1.82265053492495
"ENSMUSG00000037202.5","ENSMUSG00000037202.5","Prf1",3.11576054236526,5.82106195475521,0.000302714910850558,0.00725387815935219,0.777032926585624,"ENSMUSG00000037202",2054,"protein_coding",18646,-1.02077170179912
"ENSMUSG00000018566.14","ENSMUSG00000018566.14","Slc2a4",1.40671954323282,5.95958328175829,0.00025653889808265,0.00642296384892977,0.774237484316075,"ENSMUSG00000018566",3478,"protein_coding",20528,1.17853185627661
"ENSMUSG00000031504.6","ENSMUSG00000031504.6","Rab20",1.47429010551129,5.97696217971396,0.00025131122391909,0.00635081667016665,0.771326899887304,"ENSMUSG00000031504",1392,"protein_coding",19332,1.17431401060419
"ENSMUSG00000100280.2","ENSMUSG00000100280.2","Gm28417",2.45429602000933,5.81805074153467,0.000303814529621168,0.00725387815935219,0.768234120061421,"ENSMUSG00000100280",2409,"processed_transcript",NA,-0.604456694043924
"ENSMUSG00000109556.1","ENSMUSG00000109556.1","Gm38843",2.33728865630684,5.81471027997559,0.00030503948370526,0.00726116600156692,0.76483650584575,"ENSMUSG00000109556",323,"lincRNA",NA,-1.96132137028878
"ENSMUSG00000031548.7","ENSMUSG00000031548.7","Sfrp1",1.13514222943719,6.30031155740252,0.000172546397306801,0.0048768036040711,0.75778941826046,"ENSMUSG00000031548",4372,"protein_coding",20377,4.07451635423538
"ENSMUSG00000038527.9","ENSMUSG00000038527.9","C1rl",1.61582603518024,5.83487476764224,0.000297726174845865,0.00718090066316121,0.752614932997831,"ENSMUSG00000038527",3010,"protein_coding",232371,-0.0364862097328142
"ENSMUSG00000031740.8","ENSMUSG00000031740.8","Mmp2",1.38338001378651,6.06785799762708,0.000225799211855042,0.00595551707437267,0.751275472889148,"ENSMUSG00000031740",3371,"protein_coding",17390,2.2115123142679
"ENSMUSG00000025572.17","ENSMUSG00000025572.17","Tmc6",1.19938467578933,6.09650116203658,0.000218357445367055,0.00579797768331693,0.750499614304946,"ENSMUSG00000025572",4091,"protein_coding",217353,2.33885873124021
"ENSMUSG00000024725.12","ENSMUSG00000024725.12","Ostf1",0.972552349532598,6.25532562178106,0.000181670063841011,0.00503847243802617,0.742744294623369,"ENSMUSG00000024725",4784,"protein_coding",20409,3.68531291037223
"ENSMUSG00000028583.14","ENSMUSG00000028583.14","Pdpn",1.18391715427987,6.25617180255315,0.00018149365348491,0.00503847243802617,0.706953085664642,"ENSMUSG00000028583",1817,"protein_coding",14726,4.06932371245105
"ENSMUSG00000021756.12","ENSMUSG00000021756.12","Il6st",1.01796530170383,6.54788914843831,0.000130520620718942,0.00393806484296578,0.701605046950187,"ENSMUSG00000021756",11099,"protein_coding",16195,7.47581687084879
"ENSMUSG00000036570.14","ENSMUSG00000036570.14","Fxyd1",1.5250161542751,6.28240385873577,0.000176116766486892,0.00493648001685449,0.690370704684089,"ENSMUSG00000036570",2186,"protein_coding",56188,4.52752180631881
"ENSMUSG00000059555.6","ENSMUSG00000059555.6","Tor4a",1.71387217235758,6.04338952665088,0.000232376200613364,0.00605481882456275,0.68824035098161,"ENSMUSG00000059555",3301,"protein_coding",227612,2.39285701384418
"ENSMUSG00000018822.7","ENSMUSG00000018822.7","Sfrp5",1.3481415783557,5.95527721409985,0.000257852473804128,0.00643544345843073,0.685836538659494,"ENSMUSG00000018822",1900,"protein_coding",54612,1.40001858952434
"ENSMUSG00000102153.1","ENSMUSG00000102153.1","Gm37474",1.86883331134407,5.80070110534934,0.000310235689310908,0.00734059170961923,0.680704819942999,"ENSMUSG00000102153",1814,"TEC",NA,0.174354379385693
"ENSMUSG00000030281.16","ENSMUSG00000030281.16","Il17rc",1.14155071167986,5.97628684107356,0.000251512182251058,0.00635081667016665,0.677237764980294,"ENSMUSG00000030281",2671,"protein_coding",171095,1.8363571638352
"ENSMUSG00000015745.9","ENSMUSG00000015745.9","Plekho1",0.736237874044675,6.24885588695105,0.0001830250825553,0.00506419285084378,0.676477597332233,"ENSMUSG00000015745",2172,"protein_coding",67220,4.1094995658291
"ENSMUSG00000045962.16","ENSMUSG00000045962.16","Wnk1",0.744682882863516,6.55024931798107,0.000130178399799234,0.0039327492337307,0.673038011926694,"ENSMUSG00000045962",22825,"protein_coding",232341,8.28745459890127
"ENSMUSG00000027737.10","ENSMUSG00000027737.10","Slc7a11",1.12126138610162,6.511767540417,0.00013588314109491,0.00406388436352567,0.669193953379675,"ENSMUSG00000027737",13922,"protein_coding",26570,7.41542385420748
"ENSMUSG00000038037.4","ENSMUSG00000038037.4","Socs1",2.50724234054372,5.8227029740066,0.000302117481123017,0.00725162558409855,0.665147621729056,"ENSMUSG00000038037",1220,"protein_coding",12703,0.432328056084708
"ENSMUSG00000032060.9","ENSMUSG00000032060.9","Cryab",1.32546626268202,6.38966694451996,0.000155876045690199,0.00450784388543633,0.659546536880747,"ENSMUSG00000032060",1185,"protein_coding",12955,5.81511538708956
"ENSMUSG00000029994.17","ENSMUSG00000029994.17","Anxa4",1.81032357986384,6.04559880014255,0.000231773843987626,0.00605481882456275,0.646287540234056,"ENSMUSG00000029994",4645,"protein_coding",11746,2.82330684990365
"ENSMUSG00000035673.9","ENSMUSG00000035673.9","Sbno2",1.10212026859313,6.2395024833652,0.000185003649802515,0.00509927294607004,0.642428183562846,"ENSMUSG00000035673",4227,"protein_coding",216161,4.36744696137227
